Date,Day,C_Temp_max_C,C_Temp_min_C,T1_Temp_max_C,T1_Temp_min_C,T2_Temp_max_C,T2_Temp_min_C,T3_Temp_max_C,T3_Temp_min_C,T4_Temp_max_C,T4_Temp_min_C,T5_Temp_max_C,T5_Temp_min_C,T6_Temp_max_C,T6_Temp_min_C,T7_Temp_max_C,T7_Temp_min_C,T8_Temp_max_C,T8_Temp_min_C,T9_Temp_max_C,T9_Temp_min_C,T10_Temp_max_C,T10_Temp_min_C,T11_Temp_max_C,T11_Temp_min_C,T12_Temp_max_C,T12_Temp_min_C,T13_Temp_max_C,T13_Temp_min_C,T14_Temp_max_C,T14_Temp_min_C,T15_Temp_max_C,T15_Temp_min_C,T16_Temp_max_C,T16_Temp_min_C,T17_Temp_max_C,T17_Temp_min_C,T18_Temp_max_C,T18_Temp_min_C,T19_Temp_max_C,T19_Temp_min_C,T20_Temp_max_C,T20_Temp_min_C,T21_Temp_max_C,T21_Temp_min_C,T22_Temp_max_C,T22_Temp_min_C
2022-09-26,26,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889,17.77777778,8.888888889
2022-09-27,27,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222,21.66666667,7.222222222
2022-09-28,28,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111,19.44444444,6.111111111
2022-09-29,29,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778,19.44444444,7.777777778
2022-09-30,30,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111,18.33333333,6.111111111
2022-10-01,31,15,7.777777778,15,7.777777778,15,7.777777778,15,7.777777778,15,7.777777778,15,7.777777778,15,7.777777778,15,7.777777778,15,7.777777778,15,7.777777778,15,7.777777778,15,7.777777778,15,7.777777778,15,7.777777778,15,7.777777778,15,7.777777778,15,7.777777778,15,7.777777778,15,7.777777778,15,7.777777778,15,7.777777778,15,7.777777778,15,7.777777778
2022-10-02,32,14.44444444,10,14.44444444,10,14.44444444,10,14.44444444,10,14.44444444,10,14.44444444,10,14.44444444,10,14.44444444,10,14.44444444,10,14.44444444,10,14.44444444,10,14.44444444,10,14.44444444,10,14.44444444,10,14.44444444,10,14.44444444,10,14.44444444,10,14.44444444,10,14.44444444,10,14.44444444,10,14.44444444,10,14.44444444,10,14.44444444,10
2022-10-03,33,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667,12.77777778,6.666666667
2022-10-04,34,10,6.666666667,10,6.666666667,10,6.666666667,10,6.666666667,10,6.666666667,10,6.666666667,10,6.666666667,10,6.666666667,10,6.666666667,10,6.666666667,10,6.666666667,10,6.666666667,10,6.666666667,10,6.666666667,10,6.666666667,10,6.666666667,10,6.666666667,10,6.666666667,10,6.666666667,10,6.666666667,10,6.666666667,10,6.666666667,10,6.666666667
2022-10-05,35,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667,11.11111111,6.666666667
